"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgvehicles_ak_railhndgrd1","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","Lištové předpažbí útočné pušky AK. Umožňuje namontování dalších doplňků.","Ein Handschutz mit Schiene für AK-basierte Sturmgewehre. Ermöglicht das Anbringen zusätzlicher Aufsätze.","Реечная ствольная накладка для автомата системы AK. Позволяет устанавливать различные приспособления.","Łoże do karabinu szturmowego AK. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","Paramani da scanalatura per fucili d’assalto di derivazione AK. Consente di montare ulteriori accessori.","Una empuñadura de riel para fusiles de asalto AK. Se le pueden enganchar accesorios adicionales.","Un garde-main pour les fusils d'assaut de type AK. Le rail permet l'ajout d'accessoires.","導軌扶手，適用 AK 系列突擊步槍。可額外加裝配件。","AK ベースのアサルトライフルのためのレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","AK 型突击步枪的钢轨护手。可安装额外的附件。",

"str_iz_cfgvehicles_ak_plastichndgrd0","AK Polymer Handguard","AK Polymer Handguard","Polymerové předpažbí AK","AK-Polymer-Handschutz","Полимерная ствольная накладка AK","Polimerowe łoże lufy AK","AK Polymer Handguard","Paramani in polimero AK","Empuñadura de polímero AK","Garde-main polymère de AK","AK 聚合物扶手","AK ポリマーハンドガード","AK Polymer Handguard","AK 聚合物护手",
"str_iz_cfgvehicles_ak_plastichndgrd1","A polymer handguard for AK based assault rifles.","A polymer handguard for AK based assault rifles.","Polymerové předpažbí na útočné pušky AK.","Ein Polymer-Handschutz für AK-basierte Sturmgewehre.","Полимерная ствольная накладка для автоматов системы AK.","Polimerowe łoże lufy do karabinu szturmowego AK.","A polymer handguard for AK based assault rifles.","Paramani in polimero per fucili d’assalto di derivazione AK.","Una empuñadura de polímero para fusiles de asalto tipo AK.","Un garde-main en polymère pour les fusils d'assaut de type AK.","聚合物扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのためのポリマーハンドガード。","A polymer handguard for AK based assault rifles.","AK 型突击步枪的聚合物护手。",

"str_iz_cfgvehicles_ak_plasticbttstck0","AK Polymer Buttstock","AK Polymer Buttstock","Polymerová pažba AK","AK-Polymer-Schulterstütze","Полимерный приклад AK","Polimerowa kolba AK","AK Polymer Buttstock","Calcio in polimero AK","Culata de polímero AK","Crosse polymère de AK","AK 聚合物槍托","AK ポリマー銃床","AK Polymer Buttstock","AK 聚合物枪托",
"str_iz_cfgvehicles_ak_plasticbttstck1","A polymer buttstock for AK based assault rifles.","A polymer buttstock for AK based assault rifles.","Polymerová pažba na útočné pušky AK.","Polymer-Schulterstütze für AK-basierte Sturmgewehre.","Полимерный приклад для автоматов системы AK.","Polimerowa kolba do karabinu szturmowego AK.","A polymer buttstock for AK based assault rifles.","Calcio in polimero per fucili d’assalto di derivazione AK.","Una culata de polímero para fusiles de asalto tipo AK.","Une crosse en polymère pour les fusils de type AK.","聚合物槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのためのポリマー銃床。","A polymer buttstock for AK based assault rifles.","AK 型突击步枪的聚合物枪托。",

"str_iz_cfgvehicles_ak_foldingbttstck0","AK Folding Buttstock","AK Folding Buttstock","Skládací pažba AK","Faltbare AK-Schulterstütze","Складной приклад AK","Składana kolba AK","AK Folding Buttstock","Calcio pieghevole AK","Culata plegable AK","Crosse pliante de AK","AK 摺疊式槍托","AK 折り畳み式銃床","AK Folding Buttstock","AK 折叠枪托",
"str_iz_cfgvehicles_ak_foldingbttstck1","A folding buttstock for AK based assault rifle.","A folding buttstock for AK based assault rifle.","Skládací pažba na útočné pušky AK.","Faltbare Schulterstütze für AK-basierte Sturmgewehre.","Складной приклад для автоматов системы AK.","Składana kolba do karabinu szturmowego AK.","A folding buttstock for AK based assault rifle.","Calcio pieghevole per fucili d’assalto di derivazione AK.","Una culata plegable para fusiles de asalto tipo AK.","Une crosse pliante pour les fusils de type AK.","摺疊式槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための折り畳み式銃床。","A folding buttstock for AK based assault rifle.","AK 型突击步枪的折叠枪托。",

"str_iz_cfgvehicles_ak_bayonet0","AK Bayonet","AK Bayonet","Bajonet AK","AK-Bajonett","Штык для AK","Bagnet AK","AK Bayonet","Baionetta AK","Bayoneta para AK","Baïonnette de AK","AK 刺刀","AK 銃剣","AK Bayonet","AK 刺刀",
"str_iz_cfgvehicles_ak_bayonet1","A bayonet for AK based assault rifles with a bayonet lug.","A bayonet for AK based assault rifles with a bayonet lug.","Bajonet na útočné pušky AK s montáží na bajonet.","Ein Bajonett für AK-basierte Sturmgewehre mit Bajonettaufsatz.","Штык для автоматов системы КА с выступом для крепления штыка.","Bagnet na karabin szturmowy AK z odpowiednim uchwytem.","A bayonet for AK based assault rifles with a bayonet lug.","Una baionetta per fucili d’assalto di derivazione AK dotati di attacco per baionetta.","Una bayoneta para fusiles de asalto AK, con un agarre de bayoneta.","Une baïonnette pouvant être fixée aux fusils d'assaut de type AK.","刺刀，可加裝在有刺刀座的 AK 系列突擊步槍。","着剣ラグのある AK ベースのアサルトライフルのための銃剣。","A bayonet for AK based assault rifles with a bayonet lug.","一种带有刺刀座的 AK 型突击步枪的刺刀。",

"str_iz_cfgvehicles_ak74_woodbttstck0","AK Wooden Buttstock","AK Wooden Buttstock","Dřevěná pažba AK","AK-Holz-Schulterstütze","Деревянный приклад AK","Drewniana kolba AK","AK Wooden Buttstock","Calcio in legno AK","Culata de madera AK","Crosse en bois de AK","AK 木質槍托","AK 木製銃床","AK Wooden Buttstock","AK 木制枪托",
"str_iz_cfgvehicles_ak74_woodbttstck1","A wooden buttstock for AK based assault rifle.","A wooden buttstock for AK based assault rifle.","Dřevěná pažba na útočné pušky AK.","Holz-Schulterstütze für AK-basierte Sturmgewehre.","Деревянный приклад для автомата системы AK.","Drewniana kolba do karabinu szturmowego AK.","A wooden buttstock for AK based assault rifle.","Calcio in legno per fucili d’assalto di derivazione AK.","Una culata de madera para el fusil de asalto tipo AK.","Une crosse en bois pour les fusils de type AK.","木質槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製の銃床。","A wooden buttstock for AK based assault rifle.","AK 型突击步枪的木制枪托。",

"str_iz_cfgvehicles_ak74_hndgrd0","AK Wooden Handguard","AK Wooden Handguard","Dřevěné předpažbí AK","AK-Holz-Handschutz","Деревянное цевьё AK","Drewniane łoże lufy AK","AK Wooden Handguard","Paramani in legno AK","Empuñadura de madera AK","Garde-main en bois de AK","AK 木質扶手","AK 木製ハンドガード","AK Wooden Handguard","AK 木制护手",
"str_iz_cfgvehicles_ak74_hndgrd1","A wooden handguard for AK based assault rifle.","A wooden handguard for AK based assault rifle.","Dřevěné předpažbí útočné pušky AK.","Hölzerner Handschutz für AK-basierte Sturmgewehre.","Деревянная ствольная накладка для автомата системы AK.","Drewniane łoże do karabinu szturmowego AK.","A wooden handguard for AK based assault rifle.","Paramani in legno per fucili d’assalto di derivazione AK.","Una empuñadura de madera para el fusil de asalto tipo AK.","Un garde-main en bois pour les fusils de type AK.","木質扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製のハンドガード。","A wooden handguard for AK based assault rifle.","AK 型突击步枪的木制护手。",

"str_iz_cfgvehicles_kobraoptic0","Kobra Sights","Kobra Sights","Optika Kobra","Kobra-Zielvisier","Коллиматор Кобра","Kolimator Kobra","Kobra Sights","Mire Kobra","Mira Kobra","Viseur Kobra","Kobra 瞄具","コブラ照準器","Kobra Sights","Kobra 瞄具",
"str_iz_cfgvehicles_kobraoptic1","Side-mounted, non-magnifying optics with battery-powered illuminated reticle for AK based rifles.","Side-mounted, non-magnifying optics with battery-powered illuminated reticle for AK based rifles.","Optika s boční montáží na pušky AK bez zvětšení s osvětleným záměrným křížem napájeným baterií.","Seitlich angebrachtes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen für AK-basierte Gewehre.","Крепящийся сбоку прицел без увеличения с устройством освещения сетки на батарейке. Разработан для автоматов системы КА.","Montowana z boku luneta celownicza z podświetlaną siatką bez powiększenia. Pasuje do karabinów AK.","Side-mounted, non-magnifying optics with battery-powered illuminated reticle for AK based rifles.","Ottiche prive di zoom montate lateralmente e reticolo illuminato alimentato a batteria per fucili di derivazione AK.","Una mira de acople lateral y sin lente de aumento. En los fusiles de tipo AK, incluye una retícula iluminada (la cual requiere batería).","Un viseur sans grossissement à fixation latérale avec réticule éclairé à pile. Pour les fusils d'assaut AK.","無放大功能的側邊光學瞄具，具電池式發光標線，適用於 AK 系列步槍。","AK ベースのライフルのための電池式で光る十字線を持つ、側面取り付け型で拡大機能のない照準器。","Side-mounted, non-magnifying optics with battery-powered illuminated reticle for AK based rifles.","AK 型步枪的侧装式非放大光学瞄具，带电池供电的照明分划板。",


	"str_iz_cfgvehicles_red9bttstck1","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.","Wooden buttstock/holster combo for Red9 pistol.",
	"str_iz_cfgvehicles_red9bttstck0","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock","Red 9 Buttstock",

	"str_iz_cfgvehicles_m249_rishndgrd1","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.","A M249 handguard that provides a base for the rail based attachment system.",
	"str_iz_cfgvehicles_m249_rishndgrd0","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard","M249 Ris handguard",

	"str_iz_cfgvehicles_m249_hndgrd1","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.","A classic M249 handguard.",
	"str_iz_cfgvehicles_m249_hndgrd0","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard","M249 handguard",

	"str_iz_cfgvehicles_m249_bipod1","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.","Bipod for M249 weapon.",
	"str_iz_cfgvehicles_m249_bipod0","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod","M249 Bipod",

	"str_iz_cfgvehicles_longrangeoptic0","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope",
	"str_iz_cfgvehicles_longrangeoptic1","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope","Long Range Scope",

	"str_iz_cfgvehicles_grozaoptic1","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.","Marksman telescopic sight with fixed 4x magnification and ballistic compensation in range from 100m to 400m. Will fit only Groza rifle.",
	"str_iz_cfgvehicles_grozaoptic0","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope","PO4x34 Scope",

	"str_iz_cfgvehicles_groza_lowerreceiver1","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.","A standard lower receiver that comes as a default with the Groza-4.",
	"str_iz_cfgvehicles_groza_lowerreceiver0","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever","Groza Lower Reciever",

	"str_iz_cfgvehicles_grozagl_lowerreceiver1","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.","An integral GP-30 grenade launcher module combined with lower receiver of Groza-4. This cann not be attached to upper receiver when the barrel has been obstructed by other devices.",
	"str_iz_cfgvehicles_grozagl_lowerreceiver0","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever","Groza GP-30 Reciever",

	"str_iz_cfgvehicles_groza_barrel_short1","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.","A compact extended barrel combined with threaded flash can for Groza-4.",
	"str_iz_cfgvehicles_groza_barrel_short0","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can","Groza-4 Threaded Flash Can",

	"str_iz_cfgvehicles_groza_barrel_grip1","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.","An extended barrel with vertical foregrip for Groza-4.",
	"str_iz_cfgvehicles_groza_barrel_grip0","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel","Groza-4 Extended Barrel",

	"str_iz_cfgvehicles_crossbow_redpointoptic1","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows","Simple red dot holographic sight with zeroing suitable for crossbows",
	"str_iz_cfgvehicles_crossbow_redpointoptic0","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight","Crossbow Holosight",

	"str_iz_cfgvehicles_aug_barrel1","some text","some text","some text","some text","some text","some text","some text","some text","some text","some text","some text","some text","some text","some text",
	"str_iz_cfgvehicles_aug_barrel0","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel","Aug Steyr Barrel",

	"str_iz_cfgvehicles_atlasbipod1","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.","This bipod provides solid support for longer range engagements. When bipod is deployed and the firer is prone, weapon accuracy is increased dramatically.",
	"str_iz_cfgvehicles_atlasbipod0","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod","ATLAS Bipod",
